column,n_obs,first_date,last_date,missing_pct,stale_vs_dataset
GTII30 GOVT,4156,2015-01-01,2026-05-18,0.0,False
GTII10 GOVT,4156,2015-01-01,2026-05-18,0.0,False
GTII5 GOVT,4156,2015-01-01,2026-05-18,0.0,False
GTCADII10Y GOVT,4156,2015-01-01,2026-05-18,0.0,False
GTCADII5Y GOVT,3633,2016-06-07,2026-05-18,12.58,False
GTCADII30Y GOVT,4156,2015-01-01,2026-05-18,0.0,False
GTDEMII10Y GOVT,4156,2015-01-01,2026-05-18,0.0,False
GTDEMII7Y GOVT,4003,2015-06-03,2026-05-18,3.68,False
GTDEMII3Y GOVT,2489,2019-07-26,2026-05-18,40.11,False
GTDEMII25Y GOVT,2489,2019-07-26,2026-05-18,40.11,False
GTGBPII10Y GOVT,4156,2015-01-01,2026-05-18,0.0,False
GTGBPII5Y GOVT,4156,2015-01-01,2026-05-18,0.0,False
GTGBPII30Y GOVT,4156,2015-01-01,2026-05-18,0.0,False
GTJPYII10Y GOVT,4156,2015-01-01,2026-05-18,0.0,False
GTJPYII5Y GOVT,3050,2018-01-11,2026-05-18,26.61,False
GTJPYII7Y GOVT,3331,2017-04-05,2026-05-18,19.85,False
GTAUDII10YR GOVT,4156,2015-01-01,2026-05-18,0.0,False
GTAUDII5YR GOVT,4156,2015-01-01,2026-05-18,0.0,False
SOFRRATE INDEX,2969,2018-04-02,2026-05-18,28.56,False
IRRBIOER INDEX,4156,2015-01-01,2026-05-18,0.0,False
FEDL01 INDEX,4156,2015-01-01,2026-05-18,0.0,False
UREPGATO INDEX,2934,2018-05-07,2026-05-18,29.4,False
TGCRRATE INDEX,2969,2018-04-02,2026-05-18,28.56,False
FDTRFTRL INDEX,4156,2015-01-01,2026-05-18,0.0,False
USBGRATE INDEX,2969,2018-04-02,2026-05-18,28.56,False
UREPTATO INDEX,4156,2015-01-01,2026-05-18,0.0,False
FARWCBLS INDEX,4156,2015-01-01,2026-05-18,0.0,False
NYRPVOA INDEX,4018,2015-05-19,2026-05-18,3.32,False
EUXOQQC CURNCY,1910,2021-02-24,2026-05-18,54.04,False
EUXOQQ1 CURNCY,1911,2021-02-23,2026-05-18,54.02,False
BPXOQQC CURNCY,1915,2021-02-19,2026-05-18,53.92,False
BPXOQQ1 CURNCY,1915,2021-02-19,2026-05-18,53.92,False
JYBSS3M CURNCY,1912,2021-02-22,2026-05-18,53.99,False
JYBSS12M CURNCY,1915,2021-02-19,2026-05-18,53.92,False
CDXOQQC CURNCY,1012,2023-08-11,2026-05-18,75.65,False
CDXOQQ1 CURNCY,1443,2022-06-06,2026-05-18,65.28,False
ADBSQQC CURNCY,1687,2021-10-05,2026-05-18,59.41,False
ADBSQQ1 CURNCY,1687,2021-10-05,2026-05-18,59.41,False
GVLQUSD INDEX,4156,2015-01-01,2026-05-18,0.0,False
GVLQDE INDEX,4156,2015-01-01,2026-05-18,0.0,False
GVLQFR INDEX,4156,2015-01-01,2026-05-18,0.0,False
GVLQIT INDEX,4156,2015-01-01,2026-05-18,0.0,False
GVLQJPY INDEX,4156,2015-01-01,2026-05-18,0.0,False
LQD US EQUITY,4156,2015-01-01,2026-05-18,0.0,False
HYG US EQUITY,4156,2015-01-01,2026-05-18,0.0,False
LUACMD INDEX,4156,2015-01-01,2026-05-18,0.0,False
LF98MD INDEX,4156,2015-01-01,2026-05-18,0.0,False
LUACMAT INDEX,4156,2015-01-01,2026-05-18,0.0,False
LF98MAT INDEX,4156,2015-01-01,2026-05-18,0.0,False
LUACOAS INDEX,4156,2015-01-01,2026-05-18,0.0,False
LF98OAS INDEX,4156,2015-01-01,2026-05-18,0.0,False
BICLB10Y INDEX,4156,2015-01-01,2026-05-18,0.0,False
ILM3NAVG INDEX,4156,2015-01-01,2026-05-18,0.0,False
USYC2Y10 INDEX,4156,2015-01-01,2026-05-18,0.0,False
USYC5Y30 INDEX,4156,2015-01-01,2026-05-18,0.0,False
USYC3M10 INDEX,4156,2015-01-01,2026-05-18,0.0,False
USYC1030 INDEX,4156,2015-01-01,2026-05-18,0.0,False
BF020510 INDEX,4156,2015-01-01,2026-05-18,0.0,False
UKYC2Y10 INDEX,4156,2015-01-01,2026-05-18,0.0,False
UK020510 INDEX,4156,2015-01-01,2026-05-18,0.0,False
DEYC2Y10 INDEX,4156,2015-01-01,2026-05-18,0.0,False
DE020510 INDEX,4156,2015-01-01,2026-05-18,0.0,False
DEYC1030 INDEX,4156,2015-01-01,2026-05-18,0.0,False
FRYC2Y10 INDEX,4156,2015-01-01,2026-05-18,0.0,False
JPYC2Y10 INDEX,4156,2015-01-01,2026-05-18,0.0,False
JP020510 INDEX,4156,2015-01-01,2026-05-18,0.0,False
JPYC1030 INDEX,4156,2015-01-01,2026-05-18,0.0,False
CAYC2Y10 INDEX,4156,2015-01-01,2026-05-18,0.0,False
CB020510 INDEX,4156,2015-01-01,2026-05-18,0.0,False
AUYC2Y10 INDEX,4156,2015-01-01,2026-05-18,0.0,False
AD020510 INDEX,4156,2015-01-01,2026-05-18,0.0,False
.USJY30 G INDEX,4156,2015-01-01,2026-05-18,0.0,False
.USJY10 G INDEX,4156,2015-01-01,2026-05-18,0.0,False
USSFCT10 CURNCY,2041,2020-10-16,2026-05-18,50.89,False
BOFA CDS USD SR 5Y D14 CORP,4156,2015-01-01,2026-05-18,0.0,False
CITIB CDS USD SR 5Y D14 CORP,3547,2016-09-01,2026-05-18,14.65,False
JPMCC CDS USD SR 5Y D14 CORP,4156,2015-01-01,2026-05-18,0.0,False
GS CDS USD SR 5Y D14 CORP,3547,2016-09-01,2026-05-18,14.65,False
UBS AG CDS EUR SR 5Y D14 CORP,3547,2016-09-01,2026-05-18,14.65,False
DB CDS EUR SR 5Y D14 CORP,2563,2019-05-13,2026-05-18,38.33,False
DB CDS EUR SUB 5Y D14 CORP,4156,2015-01-01,2026-05-18,0.0,False
JPEIGLSP INDEX,4156,2015-01-01,2026-05-18,0.0,False
GUKG2 INDEX,4156,2015-01-01,2026-05-18,0.0,False
GUKG5 INDEX,4156,2015-01-01,2026-05-18,0.0,False
GUKG10 INDEX,4156,2015-01-01,2026-05-18,0.0,False
GUKG30 INDEX,4156,2015-01-01,2026-05-18,0.0,False
USGG2YR INDEX,4156,2015-01-01,2026-05-18,0.0,False
USGG5YR INDEX,4156,2015-01-01,2026-05-18,0.0,False
USGG10YR INDEX,4156,2015-01-01,2026-05-18,0.0,False
USGG30YR INDEX,4156,2015-01-01,2026-05-18,0.0,False
GDBR2 INDEX,4156,2015-01-01,2026-05-18,0.0,False
